64 978
31 37 537
31 39 814
31 40 974
31 41 337
31 42 947
31 47 254
31 48 285
31 53 634
31 56 28
31 58 292
31 60 338
32 37 263
32 41 741
32 42 917
32 43 471
32 46 225
32 48 268
32 49 857
32 50 834
32 51 308
32 52 412
32 53 427
32 55 587
32 56 677
32 57 763
32 58 332
32 60 212
32 62 211
33 36 792
33 37 243
33 38 615
33 39 527
33 40 403
33 41 641
33 45 679
33 49 22
33 55 707
33 60 350
33 61 915
33 63 233
34 36 443
34 37 527
34 39 934
34 40 744
34 41 734
34 45 904
34 47 29
34 48 431
34 51 963
34 52 980
34 53 313
34 54 166
34 55 855
34 57 870
34 58 923
34 60 353
34 61 535
34 62 385
34 63 185
35 36 492
35 41 601
35 42 916
35 44 700
35 49 545
35 50 54
35 52 207
35 53 640
35 56 698
35 57 909
35 60 894
35 62 497
36 38 984
36 40 215
36 41 174
36 42 259
36 43 255
36 45 371
36 46 604
36 47 472
36 48 944
36 49 845
36 52 595
36 54 690
36 56 662
36 58 974
36 60 20
36 61 904
36 62 600
37 40 655
37 41 703
37 43 359
37 46 71
37 48 903
37 49 736
37 50 676
37 52 996
37 53 547
37 56 961
37 57 544
37 58 717
37 59 879
37 60 811
37 61 477
37 62 197
37 63 156
38 39 11
38 44 960
38 47 830
38 49 533
38 50 122
38 51 177
38 55 482
38 56 661
38 57 807
38 58 683
38 59 838
38 62 466
38 63 703
39 40 280
39 41 443
39 44 368
39 50 862
39 51 209
39 52 639
39 53 832
39 54 921
39 58 50
40 41 33
40 42 327
40 43 584
40 45 258
40 51 402
40 56 476
40 58 929
40 59 592
40 60 686
40 61 964
40 62 520
41 45 199
41 47 545
41 50 517
41 52 210
41 53 572
41 55 413
41 57 395
41 59 487
41 61 35
42 45 317
42 46 506
42 52 260
42 53 889
42 55 35
42 60 270
42 62 461
43 44 448
43 45 78
43 46 68
43 47 142
43 48 87
43 49 71
43 50 518
43 51 558
43 54 817
43 55 944
43 57 208
43 60 35
43 62 623
43 63 667
44 45 449
44 49 314
44 51 289
44 54 497
44 58 343
44 60 520
44 61 639
44 62 484
44 63 195
45 46 272
45 48 461
45 55 300
45 63 84
46 48 712
46 50 991
46 51 76
46 58 665
46 59 718
46 60 751
46 62 415
47 49 438
47 51 750
47 52 150
47 53 246
47 54 739
47 57 341
47 58 680
47 59 523
47 60 694
47 61 239
47 62 626
47 63 353
48 49 241
48 50 326
48 51 262
48 52 960
48 54 288
48 55 724
48 58 466
48 63 189
49 52 348
49 56 959
49 57 279
49 59 489
49 61 347
49 63 765
50 52 183
50 53 928
50 58 649
51 54 372
51 56 408
51 59 513
51 60 948
51 61 877
51 62 714
52 54 495
52 55 275
52 56 582
52 59 112
52 60 220
52 62 689
52 63 445
53 55 512
53 57 273
53 60 928
54 55 12
54 57 624
54 59 458
54 61 834
55 56 894
55 58 277
55 59 373
55 60 341
55 61 614
55 62 725
56 58 951
56 59 759
56 61 921
56 62 400
56 63 755
57 58 745
57 62 321
58 62 767
59 61 104
59 63 362
60 61 359
60 62 510
60 63 701
61 63 34
62 63 960
